Date,AAPL,AMZN,JPM,MGM,TSLA,VOO,VZ
2012-01-03,12.669562,179.029999,27.060522,10.501117,5.616,97.755295,26.497862
2012-01-04,12.737655,177.509995,27.231941,10.434954,5.542,97.922981,26.151049
2012-01-05,12.879071,177.610001,27.800735,10.520023,5.424,98.241592,25.970974
2012-01-06,13.013705,182.610001,27.551395,10.520023,5.382,98.040359,25.896662
2012-01-09,12.993064,178.559998,27.504658,10.699608,5.45,98.191277,25.923681
2012-01-10,13.039587,179.339996,28.089031,10.81303,5.524,99.029663,26.058811
2012-01-11,13.018323,178.899994,28.564323,11.304533,5.646,99.130249,26.281763
2012-01-12,12.98259,175.929993,28.712358,11.465216,5.65,99.348221,26.295275
2012-01-13,12.933909,178.419998,27.987743,11.673159,4.558,98.929031,26.295275
2012-01-17,13.084568,181.660004,27.200773,11.578641,5.32,99.197319,26.362835
2012-01-18,13.220433,189.440002,28.470819,12.032332,5.362,100.303993,26.356079
2012-01-19,13.178534,194.449997,28.774702,12.098498,5.352,100.840546,26.349323
2012-01-20,12.949004,190.929993,29.109745,11.947267,5.32,100.840546,26.329054
2012-01-23,13.168057,186.089996,29.343483,12.419863,5.354,100.941147,25.94396
2012-01-24,12.952394,187.0,29.343483,12.438766,5.484,100.79026,25.531815
2012-01-25,13.761131,187.800003,29.296741,12.391506,5.594,101.67894,25.464252
2012-01-26,13.698587,193.320007,29.211031,12.334796,5.788,101.159149,25.227783
2012-01-27,13.780232,195.369995,28.992863,12.467123,5.866,101.025002,25.139952
2012-01-30,13.956766,192.149994,28.837027,12.429317,5.914,100.689644,25.410204
2012-01-31,14.063673,194.440002,29.06299,12.334796,5.814,100.639336,25.443985
2012-02-01,14.054737,179.460007,29.296741,12.949174,5.916,101.595085,25.538574
2012-02-02,14.021776,181.720001,29.257788,13.138211,6.05,101.79631,25.376434
2012-02-03,14.162264,187.679993,29.826571,13.582454,6.23,103.238327,25.565603
2012-02-06,14.294432,183.139999,29.717491,13.251636,6.36,103.087395,25.768284
2012-02-07,14.444166,184.190002,29.507122,13.194921,6.32,103.405998,25.619646
2012-02-08,14.686013,185.479996,29.842159,13.487932,6.386,103.623993,25.619646
2012-02-09,15.194055,184.979996,29.499334,13.676972,6.516,103.741356,25.619646
2012-02-10,15.201758,185.539993,29.304529,13.828205,6.22,103.037117,25.464252
2012-02-13,15.484586,191.589996,29.842159,13.780946,6.298,103.825195,25.761528
2012-02-14,15.695935,191.300003,29.546072,13.705329,6.634,103.674286,25.700726
2012-02-15,15.332696,184.470001,29.140909,13.714782,6.72,103.22155,25.558838
2012-02-16,15.472569,179.929993,29.608404,13.932175,6.836,104.344971,25.707476
2012-02-17,15.469793,182.5,29.974617,13.85656,6.994,104.596504,25.984482
2012-02-21,15.86199,182.259995,29.966827,13.412318,6.9,104.663559,26.004757
2012-02-22,15.806229,180.580002,29.662939,13.015336,6.844,104.31147,25.815582
2012-02-23,15.909441,178.889999,29.9902,13.487932,6.906,104.814476,25.761528
2012-02-24,16.094912,179.130005,29.826571,13.232731,6.75,104.965408,25.768284
2012-02-27,16.19812,178.529999,30.434328,12.920815,6.724,105.149826,25.761528
2012-02-28,16.495426,183.800003,30.551201,13.261087,6.762,105.51873,25.77504
2012-02-29,16.712011,179.690002,30.574577,13.015336,6.682,104.948631,25.748022
2012-03-01,16.774553,180.039993,31.455034,13.166567,6.882,105.636101,25.964222
2012-03-02,16.796429,179.300003,31.657616,13.081502,6.808,105.351051,26.126369
2012-03-05,16.426109,180.259995,31.478413,12.703422,6.754,104.898331,26.349323
2012-03-06,16.33676,181.089996,30.636904,12.36315,6.622,103.255089,26.139875
2012-03-07,16.350006,183.770004,31.127777,12.675067,6.624,104.076721,26.261492
2012-03-08,16.698153,187.639999,31.509579,13.043693,6.614,105.082764,26.497965
2012-03-09,16.796118,184.320007,31.969278,12.958622,6.948,105.485168,26.41688
2012-03-12,17.006546,183.389999,31.587502,12.79794,7.202,105.5355,26.565527
2012-03-13,17.502569,184.589996,33.808113,13.601358,7.218,107.430237,26.673613
2012-03-14,18.164345,182.259995,33.956161,13.346155,7.058,107.346413,26.666874
2012-03-15,18.040499,184.429993,34.828838,13.90382,7.0,107.899734,26.714157
2012-03-16,18.040806,185.050003,34.727554,13.629713,7.064,108.050629,26.73443
2012-03-19,18.519268,185.520004,35.062588,13.658071,6.996,108.503357,26.788483
2012-03-20,18.668995,192.330002,35.358673,13.487932,6.992,108.201546,26.774973
2012-03-21,18.562401,191.729996,35.156086,13.497385,7.03,108.033867,26.876314
2012-03-22,18.465038,192.399994,34.789867,13.327251,6.88,107.195465,26.795231
2012-03-23,18.363674,195.039993,35.187244,13.42177,6.816,107.61467,26.633085
2012-03-26,18.70042,202.869995,35.974213,13.743135,7.48,109.071541,26.572277
2012-03-27,18.93149,205.440002,35.756062,13.705329,7.588,108.768379,26.119614
2012-03-28,19.028233,201.160004,36.052139,13.251636,7.57,108.246262,25.84936
2012-03-29,18.78916,204.610001,35.584629,13.090952,7.466,108.060997,25.720993
2012-03-30,18.471512,202.509995,35.826172,12.873556,7.448,108.414673,25.829088
2012-04-02,19.059349,198.050003,35.943043,12.968077,7.316,109.290504,26.025023
2012-04-03,19.388693,199.660004,35.621487,13.166567,7.602,108.869446,25.984482
2012-04-04,19.234341,193.990005,34.829391,12.807393,7.0,107.724136,25.937193
2012-04-05,19.523026,194.389999,34.774494,12.854653,6.896,107.690453,25.779753
2012-04-09,19.601583,191.869995,34.42157,12.769586,6.63,106.494659,25.642841
2012-04-10,19.361586,186.979996,33.692192,12.353699,6.492,104.641975,25.191042
2012-04-11,19.292572,187.970001,34.515675,12.854653,6.618,105.500954,25.588089
2012-04-12,19.186899,190.690002,35.166615,13.100403,6.688,106.949409,25.704451
2012-04-13,18.646505,188.460007,33.888279,13.157116,6.718,105.669373,25.505926
2012-04-16,17.873198,185.5,33.98238,12.968077,6.45,105.55146,25.622303
2012-04-17,18.784224,188.389999,34.429409,13.053144,6.448,107.168343,25.834517
2012-04-18,18.742319,191.070007,33.951008,12.996433,6.532,106.797813,25.779753
2012-04-19,18.098419,191.100006,33.896111,13.015336,6.632,106.107285,26.115175
2012-04-20,17.65292,189.979996,33.503979,12.779037,6.632,106.275688,26.512197
2012-04-23,17.613483,188.240005,33.605934,12.40096,6.388,105.366219,26.402683
2012-04-24,17.261648,190.330002,33.943157,12.344249,6.364,105.753586,27.039301
2012-04-25,18.793465,194.419998,33.849064,12.618353,6.582,107.235741,27.025606
2012-04-26,18.722605,195.990005,34.350986,13.024788,6.698,107.976822,27.477402
2012-04-27,18.577803,226.850006,33.990215,13.024788,6.668,108.195717,27.539022
2012-04-30,17.991814,231.899994,33.707886,12.68452,6.626,107.724136,27.641695
2012-05-01,17.934822,230.039993,34.34314,12.561643,6.756,108.431519,27.764927
2012-05-02,18.053432,230.25,33.880428,12.807393,6.788,108.094673,27.792295
2012-05-03,17.925268,229.449997,33.731407,12.21192,6.492,107.303108,27.819672
2012-05-04,17.414761,223.990005,32.743233,11.786583,6.366,105.55146,27.55954
2012-05-07,17.545088,225.160004,32.766754,11.493571,6.494,105.635696,27.744373
2012-05-08,17.505037,223.899994,32.453053,11.162754,6.038,105.180954,27.758072
2012-05-09,17.535843,222.979996,31.87269,11.01152,6.012,104.591454,27.552706
2012-05-10,17.577129,226.690002,31.951122,11.020975,6.592,104.776733,27.758072
2012-05-11,17.459745,227.679993,28.986578,10.99262,6.45,104.439857,28.175632
2012-05-14,17.198177,222.929993,28.068985,10.529472,6.012,103.328278,27.990814
2012-05-15,17.042591,224.389999,28.421913,10.4066,5.886,102.75563,28.100338
2012-05-16,16.82416,224.059998,27.810169,10.312078,5.836,102.317719,27.983973
2012-05-17,16.332451,218.360001,26.610249,9.83003,5.714,100.768219,28.319387
2012-05-18,16.34046,213.850006,26.265169,9.763866,5.512,99.976639,28.428907
2012-05-21,17.292452,218.110001,25.496584,10.274271,5.754,101.660881,28.298855
2012-05-22,17.159668,215.330002,26.672981,10.132493,6.16,101.879837,28.33308
2012-05-23,17.57836,217.279999,26.869049,10.179752,6.204,101.879837,28.257784
2012-05-24,17.416924,215.240005,26.641623,10.245916,6.056,102.065079,28.33308
2012-05-25,17.32357,212.889999,26.273006,10.208106,5.962,101.829308,28.374155
2012-05-29,17.631041,214.75,26.374966,10.55783,6.338,102.991432,28.579521
2012-05-30,17.843626,209.229996,25.849504,10.321529,6.082,101.5093,28.353621
2012-05-31,17.799265,212.910004,25.998518,10.236462,5.9,101.25666,28.504215
2012-06-01,17.283522,208.220001,25.04171,9.801673,5.63,98.780815,28.086647
2012-06-04,17.385189,214.570007,24.312334,9.839479,5.576,98.747131,28.298855
2012-06-05,17.340208,213.210007,25.088768,10.321529,5.582,99.319801,28.203014
2012-06-06,17.606089,217.639999,25.935774,10.605091,5.844,101.694588,28.593212
2012-06-07,17.614098,218.800003,25.731867,10.595636,5.786,101.677719,28.504215
2012-06-08,17.879053,218.479996,26.414181,10.765773,6.016,102.519859,29.051855
2012-06-11,17.597155,216.5,25.739706,10.434954,5.824,101.273499,29.133984
2012-06-12,17.750891,216.419998,26.48477,10.623992,5.932,102.452469,29.394114
2012-06-13,17.627657,214.729996,26.900425,10.378243,5.954,101.778778,29.428349
2012-06-14,17.608244,214.449997,27.174921,10.491666,5.878,102.907211,29.948593
2012-06-15,17.688347,218.350006,27.472937,10.208106,5.982,103.816734,29.811689
2012-06-18,18.047277,222.660004,27.15139,10.312078,6.368,104.035683,29.996515
2012-06-19,18.097492,224.029999,27.747435,10.529472,6.418,105.096733,29.934896
2012-06-20,18.046043,223.020004,28.586601,10.623992,6.756,104.928322,29.640549
2012-06-21,17.797413,220.570007,27.849394,10.368791,6.438,102.620918,29.661083
2012-06-22,17.933897,222.160004,28.22584,10.387693,6.758,103.361961,30.085495
2012-06-25,17.584835,220.070007,27.700384,9.915095,6.622,101.719704,29.88014
2012-06-26,17.623648,225.610001,28.006243,10.000163,6.322,102.210663,30.010206
2012-06-27,17.699749,225.619995,28.845417,10.047425,6.392,103.124947,29.969126
2012-06-28,17.531841,221.309998,28.139565,10.198655,6.282,102.887932,30.099194
2012-06-29,17.992434,228.350006,28.021933,10.548377,6.258,105.444435,30.420921
2012-07-02,18.254925,229.320007,28.453281,10.444406,6.08,105.732269,30.756355
2012-07-03,18.467197,229.529999,28.374191,10.520023,6.132,106.42643,30.770027
2012-07-05,18.791613,227.059998,27.187986,10.387693,6.246,105.969299,30.728977
2012-07-06,18.666531,225.050003,26.808395,10.236462,6.198,104.987297,30.749733
2012-07-09,18.913307,225.050003,26.855841,9.924549,6.298,104.851883,30.971254
2012-07-10,18.738319,219.5,27.085178,9.801673,6.254,103.886826,30.943563
2012-07-11,18.621861,218.369995,27.354055,9.650442,6.302,103.903755,31.082022
2012-07-12,18.451488,215.360001,26.919113,9.215652,6.54,103.361961,30.922796
2012-07-13,18.638496,218.389999,28.524446,9.26291,6.85,105.122734,31.296604
2012-07-16,18.698275,216.009995,27.749454,9.225103,7.192,104.885727,31.338139
2012-07-17,18.69919,216.929993,27.670387,9.499212,6.67,105.630684,31.608128
2012-07-18,18.678242,217.470001,27.646654,9.59373,6.43,106.392563,31.767353
2012-07-19,18.926563,226.169998,27.251247,9.754413,6.454,106.66346,30.832806
2012-07-20,18.617853,228.289993,26.808395,9.244006,6.358,105.681442,30.798195
2012-07-23,18.603376,226.009995,27.235437,9.234556,6.132,104.631775,30.701283
2012-07-24,18.513718,223.039993,27.464767,8.884834,5.968,103.802147,30.299778
2012-07-25,17.714233,217.050003,27.812725,8.695795,5.79,103.734444,30.265162
2012-07-26,17.711454,220.009995,28.318844,8.714699,5.626,105.427505,30.777424
2012-07-27,18.028173,237.320007,29.172915,8.922642,5.902,107.459183,31.082022
2012-07-30,18.332258,236.089996,28.579807,8.960449,5.47,107.408409,31.116617
2012-07-31,18.816883,233.300003,28.469095,8.998258,5.484,106.714241,31.248158
2012-08-01,18.695189,232.089996,28.469095,8.903737,5.25,106.595741,31.296604
2012-08-02,18.725378,230.809998,27.812725,8.506755,5.22,105.850784,30.888178
2012-08-03,18.969082,234.970001,28.540272,8.752507,5.454,107.916336,30.777424
2012-08-06,19.18012,233.990005,28.706337,8.865931,5.654,108.204147,30.936638
2012-08-07,19.129593,236.559998,29.267807,9.527569,6.05,108.695122,30.784344
2012-08-08,19.097239,234.380005,29.386433,9.281816,5.818,108.813652,30.583591
2012-08-09,19.206148,234.059998,29.196642,9.092776,5.882,108.932167,30.694349
2012-08-10,19.23617,232.75,29.236185,9.140036,5.988,109.101486,30.87434
2012-08-13,19.492977,232.440002,29.252001,9.395239,6.234,109.01683,30.645906
2012-08-14,19.545275,233.190002,29.338984,9.414142,5.884,109.067627,30.687431
2012-08-15,19.518656,237.419998,29.315269,9.650442,5.88,109.186119,30.590513
